danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,track_name,track_artist,track_id
0.81,0.474,11,-8.697,1,0.0467,0.218,0,0.083,0.87,109.335,201867,FALSE,0,Grease,Frankie Valli,2cpveSzPXxUageEmaxQ0dE
0.72,0.856,2,-8.74,0,0.0448,0.0122,3.20E-05,0.0667,0.891,113.871,214867,FALSE,0,He's the Greatest Dancer,Sister Sledge,3ultm2OzmzCql34Go9oikZ
0.86,0.712,11,-10.812,0,0.0418,0.121,0.000124,0.0362,0.817,110.527,224227,FALSE,0,Good Times,CHIC,2TOahyUbWNB55EgesEEjlB
0.681,0.849,9,-12.919,0,0.049,0.105,8.45E-06,0.123,0.75,131.112,366160,FALSE,0,Saturday,Norma Jean Wright,7AkKIMrU4DhBnNCdv2lznk
0.644,0.572,6,-12.627,1,0.13,0.0911,0.00842,0.365,0.826,123.148,429307,FALSE,0,Shoot Me,Tasha Thomas,68Gu3Lz1qOL29CCJOOUYNW
0.63,0.877,6,-7.12,0,0.0487,0.00306,0.0212,0.0292,0.962,123.945,313813,FALSE,0,Wear It Out,Stargard,6nle9RezFtljlOOw6FwTJH
0.807,0.865,0,-10.269,1,0.0444,0.133,0.00113,0.0619,0.962,112.617,242053,FALSE,0,"Saturday Night (7"" Disco Version)",T-Connection,3w5nITgZFDXUqdErYk3WBV
0.915,0.518,10,-10.792,1,0.045,0.101,0.000345,0.086,0.905,108.654,318993,FALSE,1,Dance with Me,Peter Brown,3DYZ42Zxf4n4eJr5RMFzPG
0.753,0.753,5,-13.023,0,0.0436,0.0144,4.43E-05,0.0711,0.913,113.068,242133,FALSE,0,I'm Your Boogie Man,KC & The Sunshine Band,2PzYmcXla8Uqvar7pRb6S8
0.728,0.592,1,-9.518,1,0.0251,0.0569,3.23E-06,0.0409,0.965,104.407,200427,FALSE,0,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,4rjI0vP0X19D80vEMU3UqZ
0.749,0.752,7,-10.3,1,0.126,0.0108,0.0954,0.235,0.887,104.7,193573,FALSE,0,Rock Steady,Aretha Franklin,58WQ4iWiipfyxvpNGcr6CN
0.762,0.693,8,-9.368,1,0.0683,0.515,0,0.286,0.841,92.665,233147,FALSE,0,Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band,0WPqq5wr9byUtAFaJEgFpK
0.724,0.579,10,-10.933,0,0.0575,0.201,0.00856,0.0724,0.833,94.92,251560,FALSE,0,"Supernatural Thing, Pt. 1",Ben E. King,4q9lcJE0F70Qzq9ifHMoL7
0.696,0.886,4,-6.965,0,0.452,0.0531,0,0.336,0.504,85.449,180867,TRUE,1,So Fa Real,Mack Biggers,1TLEs7RtEuMUtw0bh7pZib
0.652,0.74,11,-7.704,0,0.355,0.372,0.000136,0.174,0.69,162.429,174453,TRUE,0,Timeless (feat. Trae tha Truth),Mack Biggers,3tWl18G7pRX294oVsS7sN9
